str_district,imm_child_age_months,enc_age_band,enc_child_sex,imm_birth_order,imm_birth_interval,imm_first_born,imm_short_interval,imm_high_birth_order,enc_size_at_birth,enc_had_diarrhea,und_maternal_age,und_maternal_edu_years,enc_edu_level,und_maternal_weight_kg,und_maternal_height_cm,und_maternal_bmi,und_low_bmi,und_maternal_stunted,und_total_children,und_household_size,enc_wealth_index,enc_residence,enc_region,enc_district,enc_religion,district_stunting_rate,district_mean_age,district_mean_wealth,district_mean_mat_height,stunting_rate,cluster,cluster_label
salima,0.03941878619636791,0.028175505439965845,0.007069793338449157,0.003288711201307378,0.014682997451499294,0.004327998849932744,0.0017132684481310436,0.0006973483120916811,0.010042737952337486,0.007347355286954143,0.009616130285320448,0.014524103713133778,0.005219316157584089,0.029974163475586207,0.05253452536068701,0.01273424276611498,0.001042209318399044,0.0009318237712575146,0.003669076266948591,0.008040269496456228,0.012251370822489149,0.00102454582942199,0.0023561051971735004,0.005955268622504855,0.0060837409848345765,0.02320276068162684,0.005623556723724008,0.004924702711482033,0.005493788898979915,0.3395348837209302,1,Cluster B
mzimba,0.05201201391350929,0.0343846912002448,0.007227229749371213,0.0038858344274854094,0.012862604272557735,0.00499658020134981,0.0011298122531257619,0.0006410289871752711,0.010854515636832643,0.005876135385824374,0.01113540178674744,0.014233881009583184,0.005772624601989876,0.03560632767360894,0.06227138581931869,0.015123301704407626,0.0009913545671971344,0.0011395583082618819,0.0035255377300072704,0.007920742465242407,0.013069639028169494,0.0010819822707822412,0.0031121343966090836,0.004745576917941843,0.005084103724845246,0.024588895407404044,0.008124888949817772,0.007300205554225948,0.005440834088066968,0.3385416666666667,2,Cluster C
zomba city,0.030700657338710167,0.018809331311162945,0.008089910197675554,0.003368097700371523,0.010183466965558092,0.0045036621726721425,0.0009526909918119442,0.0003826369167900933,0.006756465093441449,0.004145878813945419,0.007925270006670627,0.014107621552513131,0.00778432066394558,0.0367665981099152,0.054434458165792114,0.014283291382670859,0.0005203544560162858,0.0006929687356719064,0.0029597450470223584,0.005111967502650726,0.01770926297522293,0.002767582741278766,0.0021401514798500203,0.011587289851678655,0.006648088061419617,0.027267441386921405,0.0032408791788740778,0.004060089765044248,0.004599385709510791,0.3269230769230769,0,Cluster A
balaka,0.03579330543614574,0.027480477053903385,0.006217143389754325,0.0031116576322895604,0.016016736727004256,0.003904820656930547,0.001431660693484575,0.0005633991839143825,0.009298064859446536,0.0052397809623086575,0.009030880444018265,0.014209350991997827,0.006609657366995875,0.03863471565935043,0.05546619990688304,0.015617528397539517,0.0011852135345155018,0.0007582704340516409,0.0032161436414175027,0.007116099673737413,0.011945765006133766,0.0007985599652946671,0.0019366010687267227,0.007699172219703649,0.005253585811193808,0.032053693731057785,0.007064665167007129,0.005406294823741897,0.004630107835426852,0.31756756756756754,0,Cluster A
nkhotakota,0.03847282054843687,0.026521843938759983,0.00852491433989496,0.003924957630521638,0.014205618202641964,0.004519143133810369,0.001211084457066567,0.0005170862591523211,0.008304934187075952,0.004337627095131653,0.0096048752924377,0.012726099506815221,0.005415223777423558,0.03427554467175128,0.05275340504861202,0.013146528008466826,0.0009307947835777596,0.0008839982335710018,0.004247929161261081,0.008564805537999055,0.01194341401869121,0.0010406616935978827,0.002498337502710909,0.004684873968599987,0.005833943288873058,0.03718334474694415,0.006172516142741892,0.004375021360957813,0.0032045027860152756,0.3132530120481928,1,Cluster B
blantyre,0.03902186515130701,0.026126136770676718,0.007573083579005377,0.003873491162861954,0.014146565065791542,0.004728609856720803,0.0013428482617509046,0.0005191528182939771,0.008368785067529574,0.005090149238183497,0.009450058474799317,0.015077079666142362,0.007826821716937776,0.036982656706717076,0.05908641346140029,0.014916575547151974,0.0015917883079120516,0.0012977840415499778,0.0039437632619201,0.007965904073177684,0.01389419883516435,0.0006999971831021897,0.0015987910634965036,0.005530392832555996,0.004049573260522899,0.0391572253411287,0.005914787272350742,0.004771831099090187,0.0030727162439887793,0.3125,0,Cluster A
rumphi,0.040399431426411316,0.027268006401575208,0.006687874332513572,0.003621695588326098,0.010342458531455559,0.005227103580826863,0.0006560869540422785,0.00036564914359860074,0.00971982322836437,0.0047685121410060765,0.00941625497494774,0.013563711038075158,0.006403902248317477,0.03398295671255759,0.05879321401554449,0.010920494293222078,0.0009399742279178613,0.0016236107346144734,0.003387444789080802,0.007180947694397704,0.010175917331839692,0.0009497090557540052,0.00303963548902577,0.00486457860561555,0.0066043781836213926,0.04045926861987786,0.005631440028544352,0.0064826157239547795,0.002248616866786693,0.2875816993464052,1,Cluster B
ntchisi,0.037054590887166935,0.026547369539306063,0.00730032168895176,0.0035412261046994047,0.014644138028608799,0.004059077849611251,0.0012144346116307403,0.0004335131380954704,0.006987498906000507,0.006155096305078417,0.008324625338710328,0.011826954798058587,0.00485752629510705,0.027000336765201673,0.05179088245672232,0.009663563051494444,0.0010062433274698136,0.0009878661209543284,0.0036024227260042646,0.006878735118975543,0.012090952836687784,0.0008428767370288803,0.0020324267588984033,0.0042652666709235695,0.006518906391361206,0.04513175413799425,0.005495508040333279,0.008402392871562076,0.012591084728622796,0.28368794326241137,1,Cluster B
mzuzu city,0.03137324364800498,0.023040696900865788,0.006812866028681574,0.004740358676669522,0.01203093513775511,0.006266909579475525,0.0009210972237821278,0.0003698769085449668,0.008321309252147671,0.004314179167714098,0.011242512752981004,0.019109863410698293,0.011418428034130337,0.04199410385078909,0.062201264096939005,0.015176285880982084,0.0006255601279576378,0.001223150106903338,0.0033059300595870305,0.0070251154180632006,0.02058865902954421,0.002380435777582597,0.002434877840435622,0.00550299234066056,0.00646092046424453,0.04354456479079607,0.00671767720483087,0.005314500333270067,0.003062881124475387,0.26865671641791045,0,Cluster A
likoma,0.029158884215991998,0.019404054677398554,0.006378067686638445,0.0033616799467261556,0.011046749533899431,0.004202055433634837,0.0007972481630442541,0.0003594947208009966,0.006577977859695341,0.004241545771392553,0.00922240352021284,0.013269884386819721,0.009167673374200115,0.03861070515919084,0.05572769402300271,0.011520393029696666,0.0008402906094687124,0.0009527287779732025,0.0026661167096181087,0.007085346185249421,0.014790570978175488,0.0011760106927125881,0.002469231985675495,0.005219288784842966,0.004893825453188424,0.040828708864555974,0.009235514120888574,0.003640015296608246,0.005002069473223541,0.23129251700680273,0,Cluster A
nkhata bay,0.03644184764541295,0.024404309057295043,0.006101096520849315,0.003667150627373974,0.01151152909934574,0.004109501055851632,0.0009571408644928116,0.0004748876290304925,0.010148866337840935,0.004135767686679452,0.0095352087804434,0.013540169348313511,0.008969647214333767,0.02674945306613251,0.05638118635968166,0.010437474453675476,0.0011182052752325706,0.0010958012156541005,0.0033012797021714263,0.005592404091075219,0.012594306322945075,0.0009875535410776776,0.003144514838595981,0.005983180606028367,0.005385339945145031,0.05118354565956748,0.008460265644401499,0.008015114191203659,0.01354357297298524,0.22758620689655173,1,Cluster B
karonga,0.037446540555174775,0.026141403848538625,0.006116721263452898,0.0035704237642963303,0.012677153570746504,0.004854743592554691,0.0010015546117191098,0.0005400850782721508,0.009026993048357107,0.004326038382135052,0.010602737564059134,0.013553203976893979,0.008857437606487238,0.03588806093904661,0.05507658054755685,0.01326913183711753,0.0011446324806145037,0.0008274383312086188,0.0030696620292978037,0.007147813443484802,0.011952720098944705,0.0014783383255943126,0.0032552147065136824,0.00663566631684982,0.005182851454404585,0.049875747827017765,0.008795141324600022,0.008380344836936334,0.007446527856357884,0.21666666666666667,0,Cluster A
